"country, country abbreviation, name, role, caps, goals, length, first match, birthday, club, country of club abbreviation"
Australia,AUS,Mile JEDINAK,Midfielder,47,5,188,Singapore - Australia 22 Mar 2008,03 Aug 1984,Crystal Palace FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/197514.png
Australia,AUS,James HOLLAND,Midfielder,14,0,180,Singapore - Australia 22 Mar 2008,15 May 1989,FK Austria Wien ,AUT,http://img.fifa.com/images/fwc/2014/players/prt-3/295149.png
Australia,AUS,Matt McKAY,Midfielder,49,1,174,Australia - Kuwait 16 Aug 2006,11 Jan 1983,Brisbane Roar FC ,AUS,http://img.fifa.com/images/fwc/2014/players/prt-3/197409.png
Australia,AUS,Eugen GALEKOVIC,Goalkeeper,8,0,186,Indonesia - Australia 28 Jan 2009,12 Jun 1981,Adelaide United FC ,AUS,http://img.fifa.com/images/fwc/2014/players/prt-3/209168.png
Australia,AUS,Ryan McGOWAN,Defender,12,0,185,Scotland - Australia 15 Aug 2012,15 Aug 1989,Shandong Luneng Taishan FC ,CHN,http://img.fifa.com/images/fwc/2014/players/prt-3/306410.png
Australia,AUS,Dario VIDOSIC,Midfielder,23,2,185,Australia - Japan 17 Jun 2009,08 Apr 1987,FC Sion ,SUI,http://img.fifa.com/images/fwc/2014/players/prt-3/290800.png
Australia,AUS,Massimo LUONGO,Midfielder,1,0,176,Australia - Ecuador 05 Mar 2014,25 Sep 1992,Swindon Town FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/339116.png
Australia,AUS,Alex WILKINSON,Defender,6,0,183,Australia - Ecuador 05 Mar 2014,13 Aug 1984,Jeonbuk Hyundai Motors FC ,KOR,http://img.fifa.com/images/fwc/2014/players/prt-3/182620.png
Australia,AUS,Mark BRESCIANO,Midfielder,77,13,182,Australia - France 01 Jun 2001,11 Feb 1980,Al Gharafa SC ,QAT,http://img.fifa.com/images/fwc/2014/players/prt-3/178299.png
Iran,IRN,Rahman AHMADI,Goalkeeper,11,0,182,Iran - Jordan 15 Aug 2008,30 Jul 1980,Sepahan FC ,IRN,http://img.fifa.com/images/fwc/2014/players/prt-3/298516.png
Iran,IRN,Khosro HEYDARI,Forward,51,0,175,Iran - Palestine 20 Jun 2007,14 Sep 1983,Esteghlal Tehran FC ,IRN,http://img.fifa.com/images/fwc/2014/players/prt-3/306206.png
Iran,IRN,Ehsan HAJI SAFI,Midfielder,62,3,177,Iran - Zambia 25 May 2008,25 Feb 1990,Sepahan FC ,IRN,http://img.fifa.com/images/fwc/2014/players/prt-3/288961.png
Iran,IRN,Jalal HOSSEINI,Defender,87,6,185,Iran - Belarus 07 Feb 2007,03 Feb 1982,Perspolis FC ,IRN,http://img.fifa.com/images/fwc/2014/players/prt-3/278072.png
Iran,IRN,Amirhossein SADEGHI,Defender,18,1,185,Iran - Bosnia and Herzegovina 02 Feb 2005,06 Sep 1981,Esteghlal Tehran FC ,IRN,http://img.fifa.com/images/fwc/2014/players/prt-3/213124.png
Iran,IRN,Javad NEKOUNAM,Midfielder,141,37,188,Jordan - Iran 30 May 2000,07 Sep 1980,Kuwait SC ,KUW,http://img.fifa.com/images/fwc/2014/players/prt-3/185641.png
Iran,IRN,Masoud SHOJAEI,Forward,53,5,185,Iran - Laos 17 Nov 2004,09 Jun 1984,UD Las Palmas ,ESP,http://img.fifa.com/images/fwc/2014/players/prt-3/213170.png
Iran,IRN,Reza HAGHIGHI,Midfielder,8,0,190,Botswana - Iran 05 Jul 2009,01 Feb 1989,Perspolis FC ,IRN,http://img.fifa.com/images/fwc/2014/players/prt-3/353379.png
Iran,IRN,Alireza JAHAN BAKHSH,Forward,9,1,181,Iran - Thailand 15 Oct 2013,11 Aug 1993,NEC Nijmegen ,NED,http://img.fifa.com/images/fwc/2014/players/prt-3/379886.png
Iran,IRN,Karim ANSARI FARD,Forward,42,9,185,Iran - Iceland 10 Nov 2009,03 Apr 1990,Tractor Sazi Tabriz FC ,IRN,http://img.fifa.com/images/fwc/2014/players/prt-3/330659.png
Iran,IRN,Ghasem HADADIFAR,Midfielder,17,0,178,Armenia - Iran 11 Aug 2010,12 Jul 1983,Zob Ahan Isfahan FC ,IRN,http://img.fifa.com/images/fwc/2014/players/prt-3/329737.png
Iran,IRN,Alireza HAGHIGHI,Goalkeeper,8,0,193,Iran - Palestine 05 Oct 2011,02 May 1988,Sporting Covilha ,POR,http://img.fifa.com/images/fwc/2014/players/prt-3/346763.png
Iran,IRN,Hossein MAHINI,Defender,22,0,182,Iran - Madagascar 17 Jul 2011,16 Sep 1986,Perspolis FC ,IRN,http://img.fifa.com/images/fwc/2014/players/prt-3/329745.png
Iran,IRN,Andranik TIMOTIAN,Midfielder,81,8,178,Iran - Libya 24 Aug 2005,06 Mar 1983,Esteghlal Tehran FC ,IRN,http://img.fifa.com/images/fwc/2014/players/prt-3/237949.png
Iran,IRN,Pejman MONTAZERI,Defender,24,1,186,Iran - China PR 19 Dec 2008,06 Sep 1983,Umm Salal SC ,QAT,http://img.fifa.com/images/fwc/2014/players/prt-3/251481.png
Iran,IRN,Reza GHOOCHANNEJAD,Forward,17,11,181,Iran - Korea Republic 16 Oct 2012,20 Sep 1987,Charlton Athletic FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/362641.png
Iran,IRN,Ahmad ALNAMEH,Defender,9,1,189,Jordan - Iran 22 Jun 2007,20 Oct 1982,Naft Tehran FC ,IRN,http://img.fifa.com/images/fwc/2014/players/prt-3/295153.png
Iran,IRN,Bakhtiar RAHMANI,Midfielder,3,0,179,Oman - Iran 22 May 2013,23 Sep 1991,Foolad Khuzestan FC ,IRN,http://img.fifa.com/images/fwc/2014/players/prt-3/346731.png
Iran,IRN,Hashem BEIKZADEH,Midfielder,17,1,180,Iran - United Arab Emirates 08 Aug 2006,22 Jan 1984,Esteghlal Tehran FC ,IRN,http://img.fifa.com/images/fwc/2014/players/prt-3/295157.png
Iran,IRN,Steven BEITASHOUR,Defender,6,0,178,Iran - Thailand 15 Oct 2013,01 Feb 1987,Vancouver Whitecaps FC ,CAN,http://img.fifa.com/images/fwc/2014/players/prt-3/379889.png
Iran,IRN,Ashkan DEJAGAH,Forward,17,4,182,Iran - Qatar 29 Feb 2012,05 Jul 1986,Fulham FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/196812.png
Iran,IRN,Daniel DAVARI,Goalkeeper,4,0,193,Thailand - Iran 15 Nov 2013,06 Jan 1988,Eintracht Braunschweig ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/379888.png
Iran,IRN,Mehrdad POOLADI,Defender,23,0,180,Iran - Madagascar 17 Jul 2011,26 Feb 1987,Perspolis FC ,IRN,http://img.fifa.com/images/fwc/2014/players/prt-3/267344.png
Japan,JPN,Eiji KAWASHIMA,Goalkeeper,59,0,185,Japan - Korea DPR 17 Feb 2008,20 Mar 1983,Standard Liege ,BEL,http://img.fifa.com/images/fwc/2014/players/prt-3/198117.png
Japan,JPN,Atsuto UCHIDA,Defender,71,2,176,Japan - Chile 26 Jan 2008,27 Mar 1988,FC Schalke 04 ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/268474.png
Japan,JPN,Gotoku SAKAI,Defender,12,0,176,Japan - United Arab Emirates 06 Sep 2012,14 Mar 1991,VfB Stuttgart ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/321736.png
Japan,JPN,Keisuke HONDA,Forward,59,23,182,Japan - Bahrain 22 Jun 2008,13 Jun 1986,AC Milan ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/233500.png
Japan,JPN,Yuto NAGATOMO,Defender,73,3,170,Japan - Cte d'Ivoire 24 May 2008,12 Sep 1986,FC Internazionale ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/291372.png
Japan,JPN,Masato MORISHIGE,Defender,11,1,183,Japan - China PR 21 Jul 2013,21 May 1987,FC Tokyo ,JPN,http://img.fifa.com/images/fwc/2014/players/prt-3/268594.png
Japan,JPN,Yasuhito ENDO,Midfielder,146,12,178,Japan - Argentina 20 Nov 2002,28 Jan 1980,Gamba Osaka ,JPN,http://img.fifa.com/images/fwc/2014/players/prt-3/177768.png
Japan,JPN,Hiroshi KIYOTAKE,Forward,26,1,172,Japan - Korea Republic 10 Aug 2011,12 Nov 1989,1. FC Nuernberg ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/347716.png
Japan,JPN,Shinji OKAZAKI,Forward,79,39,174,Japan - United Arab Emirates 09 Oct 2008,16 Apr 1986,FSV Mainz 05 ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/286278.png
Japan,JPN,Shinji KAGAWA,Forward,60,19,172,Japan - Cte d'Ivoire 24 May 2008,17 Mar 1989,Manchester United FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/268596.png
Japan,JPN,Yoichiro KAKITANI,Forward,14,5,177,Japan - China PR 21 Jul 2013,03 Jan 1990,Cerezo Osaka ,JPN,http://img.fifa.com/images/fwc/2014/players/prt-3/275096.png
Japan,JPN,Shusaku NISHIKAWA,Goalkeeper,13,0,183,Japan - Hong Kong 08 Oct 2009,18 Jun 1986,Urawa Red Diamonds ,JPN,http://img.fifa.com/images/fwc/2014/players/prt-3/214581.png
Japan,JPN,Yoshito OKUBO,Forward,60,6,170,Japan - Korea Republic 31 May 2003,09 Jun 1982,Kawasaki Frontale ,JPN,http://img.fifa.com/images/fwc/2014/players/prt-3/180936.png
Japan,JPN,Toshihiro AOYAMA,Midfielder,7,0,174,Japan - China PR 21 Jul 2013,22 Feb 1986,Sanfrecce Hiroshima ,JPN,http://img.fifa.com/images/fwc/2014/players/prt-3/268911.png
Japan,JPN,Yasuyuki KONNO,Defender,83,1,178,Japan - China PR 03 Aug 2005,25 Jan 1983,Gamba Osaka ,JPN,http://img.fifa.com/images/fwc/2014/players/prt-3/184373.png
Japan,JPN,Hotaru YAMAGUCHI,Midfielder,15,0,173,Japan - China PR 21 Jul 2013,06 Oct 1990,Cerezo Osaka ,JPN,http://img.fifa.com/images/fwc/2014/players/prt-3/356466.png
Japan,JPN,Makoto HASEBE,Midfielder,81,2,180,USA - Japan 10 Feb 2006,18 Jan 1984,1. FC Nuernberg ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/289027.png
Japan,JPN,Yuya OSAKO,Forward,11,3,182,Japan - China PR 21 Jul 2013,18 May 1990,TSV 1860 Muenchen ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/275136.png
Japan,JPN,Masahiko INOHA,Defender,21,1,179,Saudi Arabia - Japan 17 Jan 2011,28 Aug 1985,Jubilo Iwata ,JPN,http://img.fifa.com/images/fwc/2014/players/prt-3/233497.png
Japan,JPN,Manabu SAITO,Forward,5,1,169,Japan - China PR 21 Jul 2013,04 Apr 1990,Yokohama F-Marinos ,JPN,http://img.fifa.com/images/fwc/2014/players/prt-3/275112.png
Japan,JPN,Hiroki SAKAI,Defender,18,0,185,Japan - Azerbaijan 23 May 2012,12 Apr 1990,Hannover 96 ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/350003.png
Japan,JPN,Maya YOSHIDA,Defender,44,2,189,Yemen - Japan 06 Jan 2010,24 Aug 1988,Southampton FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/271253.png
Japan,JPN,Shuichi GONDA,Goalkeeper,2,0,187,Yemen - Japan 06 Jan 2010,03 Mar 1989,FC Tokyo ,JPN,http://img.fifa.com/images/fwc/2014/players/prt-3/321734.png
Korea Republic,KOR,JUNG Sungryong,Goalkeeper,63,0,190,Korea Republic - Chile 30 Jan 2008,04 Jan 1985,Suwon Bluewings FC ,KOR,http://img.fifa.com/images/fwc/2014/players/prt-3/198546.png
Korea Republic,KOR,KIM Changsoo,Defender,9,0,179,Syria - Korea Republic 01 Feb 2009,12 Sep 1985,Kashiwa Reysol ,JPN,http://img.fifa.com/images/fwc/2014/players/prt-3/278126.png
Korea Republic,KOR,YUN Sukyoung,Defender,7,0,182,Iran - Korea Republic 16 Oct 2012,13 Feb 1990,Queens Park Rangers FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/274283.png
Korea Republic,KOR,KWAK Taehwi,Defender,35,5,185,Korea Republic - Chile 30 Jan 2008,08 Jul 1981,Al Hilal FC ,KSA,http://img.fifa.com/images/fwc/2014/players/prt-3/212410.png
Korea Republic,KOR,KIM Younggwon,Defender,24,1,187,Korea Republic - Nigeria 11 Aug 2010,27 Feb 1990,Guangzhou Evergrande FC ,CHN,http://img.fifa.com/images/fwc/2014/players/prt-3/375754.png
Korea Republic,KOR,HWANG Seokho,Defender,4,0,182,Korea Republic - Australia 14 Nov 2012,27 Jun 1989,Sanfrecce Hiroshima ,JPN,http://img.fifa.com/images/fwc/2014/players/prt-3/356518.png
Korea Republic,KOR,KIM Bokyung,Midfielder,30,3,178,Zambia - Korea Republic 09 Jan 2010,06 Oct 1989,Cardiff City FC ,WAL,http://img.fifa.com/images/fwc/2014/players/prt-3/291389.png
Korea Republic,KOR,HA Daesung,Midfielder,13,0,182,Qatar - Korea Republic 14 Nov 2008,02 Mar 1985,Beijing Guoan ,CHN,http://img.fifa.com/images/fwc/2014/players/prt-3/298676.png
Korea Republic,KOR,SON Heungmin,Midfielder,28,7,183,Syria - Korea Republic 30 Dec 2010,08 Jul 1992,Bayer 04 Leverkusen ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/307849.png
Korea Republic,KOR,PARK Chuyoung,Forward,65,24,183,Uzbekistan - Korea Republic 03 Jun 2005,10 Jul 1985,Watford FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/207761.png
Korea Republic,KOR,LEE Keunho,Forward,66,19,177,Korea Republic - Iraq 29 Jun 2007,11 Apr 1985,Sangju Sangmu FC ,KOR,http://img.fifa.com/images/fwc/2014/players/prt-3/268149.png
Korea Republic,KOR,LEE Yong,Defender,15,0,180,Korea Republic - China PR 24 Jul 2013,24 Dec 1986,Ulsan Hyundai FC ,KOR,http://img.fifa.com/images/fwc/2014/players/prt-3/363578.png
Korea Republic,KOR,KOO Jacheol,Forward,40,13,182,China PR - Korea Republic 17 Feb 2008,27 Feb 1989,FSV Mainz 05 ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/291393.png
Korea Republic,KOR,HAN Kookyoung,Midfielder,13,0,183,Lebanon - Korea Republic 04 Jun 2013,19 Apr 1990,Kashiwa Reysol ,JPN,http://img.fifa.com/images/fwc/2014/players/prt-3/274329.png
Korea Republic,KOR,PARK Jongwoo,Midfielder,10,0,180,Iran - Korea Republic 16 Oct 2012,10 Mar 1989,Guangzhou R&F FC ,CHN,http://img.fifa.com/images/fwc/2014/players/prt-3/291398.png
Korea Republic,KOR,KI Sungyueng,Midfielder,62,5,186,Korea Republic - Jordan 05 Sep 2008,24 Jan 1989,Sunderland AFC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/268406.png
Korea Republic,KOR,LEE Chungyong,Midfielder,58,6,180,Korea Republic - Jordan 31 May 2008,02 Jul 1988,Bolton Wanderers FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/268414.png
Korea Republic,KOR,KIM Shinwook,Forward,29,3,196,Zambia - Korea Republic 09 Jan 2010,14 Apr 1988,Ulsan Hyundai FC ,KOR,http://img.fifa.com/images/fwc/2014/players/prt-3/321745.png
Korea Republic,KOR,JI Dongwon,Midfielder,30,8,186,Syria - Korea Republic 30 Dec 2010,28 May 1991,FC Augsburg ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/330689.png
Korea Republic,KOR,HONG Jeongho,Defender,28,1,188,Korea Republic - Nigeria 11 Aug 2010,12 Aug 1989,FC Augsburg ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/312679.png
Korea Republic,KOR,KIM Seunggyu,Goalkeeper,6,0,187,Korea Republic - Peru 14 Aug 2013,30 Sep 1990,Ulsan Hyundai FC ,KOR,http://img.fifa.com/images/fwc/2014/players/prt-3/274281.png
Korea Republic,KOR,PARK Jooho,Defender,14,0,174,Finland - Korea Republic 18 Jan 2010,16 Jan 1987,FSV Mainz 05 ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/268411.png
Korea Republic,KOR,LEE Bumyoung,Goalkeeper,0,0,199,-,02 Apr 1989,Busan IPark FC ,KOR,http://img.fifa.com/images/fwc/2014/players/prt-3/306818.png
Belgium,BEL,Thibaut COURTOIS,Goalkeeper,22,0,198,France - Belgium 15 Nov 2011,11 May 1992,Atletico Madrid ,ESP,http://img.fifa.com/images/fwc/2014/players/prt-3/358106.png
Belgium,BEL,Toby ALDERWEIRELD,Defender,38,1,186,Belgium - Chile 29 May 2009,02 Mar 1989,Atletico Madrid ,ESP,http://img.fifa.com/images/fwc/2014/players/prt-3/290864.png
Belgium,BEL,Thomas VERMAELEN,Defender,48,1,178,Luxembourg - Belgium 01 Mar 2006,14 Nov 1985,Arsenal FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/216880.png
Belgium,BEL,Vincent KOMPANY,Defender,63,4,190,Belgium - France 18 Feb 2004,10 Apr 1986,Manchester City FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/216004.png
Belgium,BEL,Jan VERTONGHEN,Defender,61,5,189,Belgium - Portugal 02 Jun 2007,24 Apr 1987,Tottenham Hotspur FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/290904.png
Belgium,BEL,Axel WITSEL,Midfielder,52,5,183,Belgium - Morocco 26 Mar 2008,12 Jan 1989,FC Zenit St. Petersburg ,RUS,http://img.fifa.com/images/fwc/2014/players/prt-3/290821.png
Belgium,BEL,Kevin DE BRUYNE,Midfielder,25,5,181,Finland - Belgium 11 Aug 2010,28 Jun 1991,VfL Wolfsburg ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/358120.png
Belgium,BEL,Marouane FELLAINI,Midfielder,55,9,194,Belgium - Czech Republic 07 Feb 2007,22 Nov 1987,Manchester United FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/290902.png
Belgium,BEL,Romelu LUKAKU,Forward,33,7,190,Air Force Central - Ratchaburi 13 Jul 2014,13 May 1993,Everton FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/358112.png
Belgium,BEL,Eden HAZARD,Midfielder,50,6,172,Luxembourg - Belgium 19 Nov 2008,07 Jan 1991,Chelsea FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/273996.png
Belgium,BEL,Kevin MIRALLAS,Forward,48,9,179,Belgium - Serbia 22 Aug 2007,05 Oct 1987,Everton FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/290903.png
Belgium,BEL,Simon MIGNOLET,Goalkeeper,14,0,193,Austria - Belgium 25 Mar 2011,06 Mar 1988,Liverpool FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/298738.png
Belgium,BEL,Sammy BOSSUT,Goalkeeper,0,0,187,-,11 Aug 1985,SV Zulte Waregem ,BEL,http://img.fifa.com/images/fwc/2014/players/prt-3/380663.png
Belgium,BEL,Dries MERTENS,Midfielder,30,4,164,Belgium - Finland 09 Feb 2011,06 May 1987,SSC Napoli ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/358114.png
Belgium,BEL,Daniel VAN BUYTEN,Defender,84,10,196,Belgium - San Marino 28 Feb 2001,07 Feb 1978,FC Bayern Muenchen ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/375523.png
Belgium,BEL,Steven DEFOUR,Midfielder,44,2,173,Belgium - Saudi Arabia 11 May 2006,15 Apr 1988,FC Porto ,POR,http://img.fifa.com/images/fwc/2014/players/prt-3/290824.png
Belgium,BEL,Divock ORIGI,Forward,7,1,185,Sweden - Belgium 01 Jun 2014,18 Apr 1995,Lille OSC ,FRA,http://img.fifa.com/images/fwc/2014/players/prt-3/379911.png
Belgium,BEL,Nicolas LOMBAERTS,Defender,26,2,188,Belgium - Saudi Arabia 11 May 2006,20 Mar 1985,FC Zenit St. Petersburg ,RUS,http://img.fifa.com/images/fwc/2014/players/prt-3/216874.png
Belgium,BEL,Moussa DEMBELE,Midfielder,59,5,185,Slovakia - Belgium 20 May 2006,16 Jul 1987,Tottenham Hotspur FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/290825.png
Belgium,BEL,Adnan JANUZAJ,Midfielder,2,0,180,Belgium - Tunisia 07 Jun 2014,05 Feb 1995,Manchester United FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/379910.png
Belgium,BEL,Anthony VANDEN BORRE,Defender,26,1,185,Belgium - Turkey 28 Apr 2004,24 Oct 1987,RSC Anderlecht ,BEL,http://img.fifa.com/images/fwc/2014/players/prt-3/216006.png
Belgium,BEL,Nacer CHADLI,Midfielder,24,2,187,Belgium - Finland 09 Feb 2011,02 Aug 1989,Tottenham Hotspur FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/358108.png
Belgium,BEL,Laurent CIMAN,Defender,8,0,180,Belgium - Bulgaria 19 May 2010,05 Aug 1985,Standard Liege ,BEL,http://img.fifa.com/images/fwc/2014/players/prt-3/290822.png
Bosnia and Herzegovina,BIH,Asmir BEGOVIC,Goalkeeper,33,0,198,Estonia - Bosnia and Herzegovina 10 Oct 2009,20 Jun 1987,Stoke City FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/230121.png
Bosnia and Herzegovina,BIH,Avdija VRSAJEVIC,Midfielder,14,1,182,Liechtenstein - Bosnia and Herzegovina 07 Sep 2012,06 Mar 1986,HNK Hajduk Split ,CRO,http://img.fifa.com/images/fwc/2014/players/prt-3/359997.png
Bosnia and Herzegovina,BIH,Ermin BICAKCIC,Defender,8,1,185,Bosnia and Herzegovina - USA 14 Aug 2013,24 Jan 1990,Eintracht Braunschweig ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/372989.png
Bosnia and Herzegovina,BIH,Emir SPAHIC,Defender,77,3,183,Romania - Bosnia and Herzegovina 07 Jun 2003,18 Aug 1980,Bayer 04 Leverkusen ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/216069.png
Bosnia and Herzegovina,BIH,Sead KOLASINAC,Defender,6,0,183,Argentina - Bosnia and Herzegovina 18 Nov 2013,20 Jun 1993,FC Schalke 04 ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/376230.png
Bosnia and Herzegovina,BIH,Ognjen VRANJES,Defender,14,0,186,Slovakia - Bosnia and Herzegovina 17 Nov 2010,24 Oct 1989,Elazigspor ,TUR,http://img.fifa.com/images/fwc/2014/players/prt-3/359995.png
Bosnia and Herzegovina,BIH,Muhamed BESIC,Midfielder,12,0,177,Slovakia - Bosnia and Herzegovina 17 Nov 2010,10 Sep 1992,Ferencvarosi TC ,HUN,http://img.fifa.com/images/fwc/2014/players/prt-3/358101.png
Bosnia and Herzegovina,BIH,Miralem PJANIC,Midfielder,51,9,180,Bosnia and Herzegovina - Bulgaria 20 Aug 2008,02 Apr 1990,AS Roma ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/299198.png
Bosnia and Herzegovina,BIH,Vedad IBISEVIC,Forward,58,21,189,Norway - Bosnia and Herzegovina 24 Mar 2007,06 Aug 1984,VfB Stuttgart ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/300411.png
Bosnia and Herzegovina,BIH,Zvjezdan MISIMOVIC,Midfielder,83,25,180,FYR Macedonia - Bosnia and Herzegovina 18 Feb 2004,05 Jun 1982,Guizhou Renhe FC ,CHN,http://img.fifa.com/images/fwc/2014/players/prt-3/216071.png
Bosnia and Herzegovina,BIH,Edin DZEKO,Forward,65,36,192,Bosnia and Herzegovina - Turkey 02 Jun 2007,17 Mar 1986,Manchester City FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/300409.png
Bosnia and Herzegovina,BIH,Jasmin FEJZIC,Goalkeeper,0,0,198,-,15 May 1986,VfR Aalen ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/367415.png
Bosnia and Herzegovina,BIH,Mensur MUJDZA,Midfielder,26,0,184,Bosnia and Herzegovina - Qatar 10 Aug 2010,28 Mar 1984,SC Freiburg ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/299904.png
Bosnia and Herzegovina,BIH,Tino Sven SUSIC,Midfielder,4,0,186,Bosnia and Herzegovina - Egypt 05 Mar 2014,13 Feb 1992,HNK Hajduk Split ,CRO,http://img.fifa.com/images/fwc/2014/players/prt-3/379808.png
Bosnia and Herzegovina,BIH,Toni SUNJIC,Defender,9,0,192,Wales - Bosnia and Herzegovina 15 Aug 2012,15 Dec 1988,FC Zorya Lugansk ,UKR,http://img.fifa.com/images/fwc/2014/players/prt-3/359993.png
Bosnia and Herzegovina,BIH,Senad LULIC,Midfielder,35,1,183,Bosnia and Herzegovina - Azerbaijan 01 Jun 2008,18 Jan 1986,SS Lazio ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/358099.png
Bosnia and Herzegovina,BIH,Senijad IBRICIC,Midfielder,44,4,185,Iran - Bosnia and Herzegovina 02 Feb 2005,26 Sep 1985,Kayseri Erciyesspor ,TUR,http://img.fifa.com/images/fwc/2014/players/prt-3/300402.png
Bosnia and Herzegovina,BIH,Haris MEDUNJANIN,Midfielder,37,5,188,Bosnia and Herzegovina - Portugal 18 Nov 2009,08 Mar 1985,Gaziantepspor ,TUR,http://img.fifa.com/images/fwc/2014/players/prt-3/233167.png
Bosnia and Herzegovina,BIH,Edin VISCA,Forward,12,0,172,Poland - Bosnia and Herzegovina 10 Dec 2010,17 Feb 1990,Istanbul BBSK ,TUR,http://img.fifa.com/images/fwc/2014/players/prt-3/365747.png
Bosnia and Herzegovina,BIH,Izet HAJROVIC,Midfielder,10,2,177,Bosnia and Herzegovina - Slovakia 06 Sep 2013,04 Aug 1991,Galatasaray SK ,TUR,http://img.fifa.com/images/fwc/2014/players/prt-3/356403.png
Bosnia and Herzegovina,BIH,Anel HADZIC,Midfielder,3,0,184,Bosnia and Herzegovina - Egypt 05 Mar 2014,16 Aug 1989,SK Sturm Graz ,AUT,http://img.fifa.com/images/fwc/2014/players/prt-3/374529.png
Bosnia and Herzegovina,BIH,Asmir AVDUKIC,Goalkeeper,3,0,190,Bosnia and Herzegovina - Finland 28 Apr 2004,13 May 1981,FK Borac Banja Luka ,BIH,http://img.fifa.com/images/fwc/2014/players/prt-3/358097.png
Bosnia and Herzegovina,BIH,Sejad SALIHOVIC,Midfielder,44,4,182,Greece - Bosnia and Herzegovina 13 Oct 2007,08 Oct 1984,TSG 1899 Hoffenheim ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/300407.png
Croatia,CRO,Stipe PLETIKOSA,Goalkeeper,114,0,193,Croatia - Denmark 10 Feb 1999,08 Jan 1979,FC Rostov ,RUS,http://img.fifa.com/images/fwc/2014/players/prt-3/179048.png
Croatia,CRO,Sime VRSALJKO,Defender,9,0,183,Croatia - Czech Republic 09 Feb 2011,10 Jan 1992,Genoa CFC ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/336485.png
Croatia,CRO,Danijel PRANJIC,Defender,52,0,172,Republic of Ireland - Croatia 16 Nov 2004,02 Dec 1981,Panathinaikos FC ,GRE,http://img.fifa.com/images/fwc/2014/players/prt-3/210702.png
Croatia,CRO,Ivan PERISIC,Midfielder,32,5,187,Georgia - Croatia 26 Mar 2011,02 Feb 1989,VfL Wolfsburg ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/359381.png
Croatia,CRO,Vedran CORLUKA,Defender,75,4,192,Italy - Croatia 16 Aug 2006,05 Feb 1986,FC Lokomotiv Moscow ,RUS,http://img.fifa.com/images/fwc/2014/players/prt-3/297373.png
