"country, country abbreviation, name, role, caps, goals, length, first match, birthday, club, country of club abbreviation"
Cameroon,CMR,Cedric DJEUGOUE,Defender,4,0,175,Gabon - Cameroon 10 Aug 2013,28 Aug 1992,Coton Sport FC ,CMR,http://img.fifa.com/images/fwc/2014/players/prt-3/380060.png
Cameroon,CMR,Dany NOUNKEU,Defender,18,0,183,Italy - Cameroon 03 Mar 2010,11 Apr 1986,Besiktas JK ,TUR,http://img.fifa.com/images/fwc/2014/players/prt-3/200259.png
Cameroon,CMR,Alexandre SONG,Midfielder,49,0,183,Morocco - Cameroon 15 Nov 2005,09 Sep 1987,FC Barcelona ,ESP,http://img.fifa.com/images/fwc/2014/players/prt-3/200261.png
Cameroon,CMR,Landry NGUEMO,Midfielder,41,2,172,Rwanda - Cameroon 03 Sep 2006,28 Nov 1985,FC Girondins Bordeaux ,FRA,http://img.fifa.com/images/fwc/2014/players/prt-3/200262.png
Cameroon,CMR,Benjamin MOUKANDJO,Forward,20,2,178,Cameroon - Senegal 04 Jun 2011,12 Nov 1988,AS Nancy ,FRA,http://img.fifa.com/images/fwc/2014/players/prt-3/296118.png
Cameroon,CMR,Samuel ETOO,Forward,118,54,181,Costa Rica - Cameroon 09 Mar 1997,10 Mar 1981,Chelsea FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/170667.png
Cameroon,CMR,Vincent ABOUBAKAR,Forward,27,2,176,Georgia - Cameroon 25 May 2010,22 Jan 1992,FC Lorient ,FRA,http://img.fifa.com/images/fwc/2014/players/prt-3/323698.png
Cameroon,CMR,Jean MAKOUN,Midfielder,68,5,170,Japan - Cameroon 19 Nov 2003,29 May 1983,Stade Rennais FC ,FRA,http://img.fifa.com/images/fwc/2014/players/prt-3/199600.png
Cameroon,CMR,Henri BEDIMO,Defender,32,0,176,Cameroon - Togo 10 Oct 2009,04 Jun 1984,Olympique Lyonnais ,FRA,http://img.fifa.com/images/fwc/2014/players/prt-3/317072.png
Cameroon,CMR,Eric CHOUPO MOTING,Forward,29,13,190,Portugal - Cameroon 01 Jun 2010,23 Mar 1989,FSV Mainz 05 ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/312316.png
Cameroon,CMR,Aurelien CHEDJOU,Defender,32,1,185,Cameroon - Morocco 07 Jun 2009,20 Jun 1985,Galatasaray SK ,TUR,http://img.fifa.com/images/fwc/2014/players/prt-3/278732.png
Cameroon,CMR,Pierre WEBO,Forward,58,19,180,Japan - Cameroon 19 Nov 2003,20 Jan 1982,Fenerbahce SK ,TUR,http://img.fifa.com/images/fwc/2014/players/prt-3/214135.png
Cameroon,CMR,Charles ITANDJE,Goalkeeper,12,0,185,Cameroon - Togo 23 Mar 2013,02 Nov 1982,Konyaspor ,TUR,http://img.fifa.com/images/fwc/2014/players/prt-3/216990.png
Cameroon,CMR,Stephane MBIA,Midfielder,52,3,190,Morocco - Cameroon 15 Nov 2005,20 May 1986,Sevilla FC ,ESP,http://img.fifa.com/images/fwc/2014/players/prt-3/200935.png
Cameroon,CMR,Eyong ENOH,Midfielder,39,2,180,Cameroon - Morocco 07 Jun 2009,23 Mar 1986,Antalyaspor AS ,TUR,http://img.fifa.com/images/fwc/2014/players/prt-3/310048.png
Cameroon,CMR,Fabrice OLINGA,Forward,8,1,177,Cameroon - Cape Verde Islands 14 Oct 2012,12 May 1996,SV Zulte Waregem ,BEL,http://img.fifa.com/images/fwc/2014/players/prt-3/367396.png
Cameroon,CMR,Edgar SALLI,Midfielder,11,1,163,Equatorial Guinea - Cameroon 11 Oct 2011,17 Aug 1992,RC Lens ,FRA,http://img.fifa.com/images/fwc/2014/players/prt-3/336791.png
Cameroon,CMR,Joel MATIP,Midfielder,25,1,194,Italy - Cameroon 03 Mar 2010,08 Aug 1991,FC Schalke 04 ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/320375.png
Cameroon,CMR,Allan NYOM,Defender,11,0,170,Cameroon - Sudan 11 Nov 2011,10 May 1988,Granada CF ,ESP,http://img.fifa.com/images/fwc/2014/players/prt-3/355023.png
Cameroon,CMR,Sammy NDJOCK,Goalkeeper,3,0,178,Ukraine - Cameroon 02 Jun 2013,25 Feb 1990,Fethiyespor ,TUR,http://img.fifa.com/images/fwc/2014/players/prt-3/370438.png
Cte d'Ivoire,CIV,Boubacar BARRY,Goalkeeper,80,0,180,Cte d'Ivoire - Tunisia 18 Jun 2000,30 Dec 1979,KSC Lokeren ,BEL,http://img.fifa.com/images/fwc/2014/players/prt-3/178958.png
Cte d'Ivoire,CIV,Ousmane DIARRASSOUBA,Defender,1,0,186,Cte d'Ivoire - Morocco 07 Sep 2013,21 Dec 1986,Caykur Rizespor ,TUR,http://img.fifa.com/images/fwc/2014/players/prt-3/291332.png
