Cameroon,CMR,Africa,Benoit ASSOU EKOTTO,Defender,24,0,178,Cameroon - Guinea 11 Feb 2009,24 Mar 1984,Queens Park Rangers FC ,England,ENG,Europe,http://img.fifa.com/images/fwc/2014/players/prt-3/306180.png
Cameroon,CMR,Africa,Nicolas NKOULOU,Defender,51,0,185,South Africa - Cameroon 19 Nov 2008,27 Mar 1990,Olympique Marseille ,France,FRA,Europe,http://img.fifa.com/images/fwc/2014/players/prt-3/290931.png
Cameroon,CMR,Africa,Cedric DJEUGOUE,Defender,4,0,175,Gabon - Cameroon 10 Aug 2013,28 Aug 1992,Coton Sport FC ,Cameroon,CMR,Africa,http://img.fifa.com/images/fwc/2014/players/prt-3/380060.png
Cameroon,CMR,Africa,Dany NOUNKEU,Defender,18,0,183,Italy - Cameroon 03 Mar 2010,11 Apr 1986,Besiktas JK ,Turkey,TUR,Europe,http://img.fifa.com/images/fwc/2014/players/prt-3/200259.png
Cameroon,CMR,Africa,Alexandre SONG,Midfielder,49,0,183,Morocco - Cameroon 15 Nov 2005,09 Sep 1987,FC Barcelona ,Spain,ESP,Europe,http://img.fifa.com/images/fwc/2014/players/prt-3/200261.png
Cameroon,CMR,Africa,Landry NGUEMO,Midfielder,41,2,172,Rwanda - Cameroon 03 Sep 2006,28 Nov 1985,FC Girondins Bordeaux ,France,FRA,Europe,http://img.fifa.com/images/fwc/2014/players/prt-3/200262.png
Cameroon,CMR,Africa,Benjamin MOUKANDJO,Forward,20,2,178,Cameroon - Senegal 04 Jun 2011,12 Nov 1988,AS Nancy ,France,FRA,Europe,http://img.fifa.com/images/fwc/2014/players/prt-3/296118.png
Cameroon,CMR,Africa,Samuel ETOO,Forward,118,54,181,Costa Rica - Cameroon 09 Mar 1997,10 Mar 1981,Chelsea FC ,England,ENG,Europe,http://img.fifa.com/images/fwc/2014/players/prt-3/170667.png
Cameroon,CMR,Africa,Vincent ABOUBAKAR,Forward,27,2,176,Georgia - Cameroon 25 May 2010,22 Jan 1992,FC Lorient ,France,FRA,Europe,http://img.fifa.com/images/fwc/2014/players/prt-3/323698.png
Cameroon,CMR,Africa,Jean MAKOUN,Midfielder,68,5,170,Japan - Cameroon 19 Nov 2003,29 May 1983,Stade Rennais FC ,France,FRA,Europe,http://img.fifa.com/images/fwc/2014/players/prt-3/199600.png
Cameroon,CMR,Africa,Henri BEDIMO,Defender,32,0,176,Cameroon - Togo 10 Oct 2009,04 Jun 1984,Olympique Lyonnais ,France,FRA,Europe,http://img.fifa.com/images/fwc/2014/players/prt-3/317072.png
Cameroon,CMR,Africa,Eric CHOUPO MOTING,Forward,29,13,190,Portugal - Cameroon 01 Jun 2010,23 Mar 1989,FSV Mainz 05 ,Germany,GER,Europe,http://img.fifa.com/images/fwc/2014/players/prt-3/312316.png
Cameroon,CMR,Africa,Aurelien CHEDJOU,Defender,32,1,185,Cameroon - Morocco 07 Jun 2009,20 Jun 1985,Galatasaray SK ,Turkey,TUR,Europe,http://img.fifa.com/images/fwc/2014/players/prt-3/278732.png
Cameroon,CMR,Africa,Pierre WEBO,Forward,58,19,180,Japan - Cameroon 19 Nov 2003,20 Jan 1982,Fenerbahce SK ,Turkey,TUR,Europe,http://img.fifa.com/images/fwc/2014/players/prt-3/214135.png
Cameroon,CMR,Africa,Charles ITANDJE,Goalkeeper,12,0,185,Cameroon - Togo 23 Mar 2013,02 Nov 1982,Konyaspor ,Turkey,TUR,Europe,http://img.fifa.com/images/fwc/2014/players/prt-3/216990.png
Cameroon,CMR,Africa,Stephane MBIA,Midfielder,52,3,190,Morocco - Cameroon 15 Nov 2005,20 May 1986,Sevilla FC ,Spain,ESP,Europe,http://img.fifa.com/images/fwc/2014/players/prt-3/200935.png
Cameroon,CMR,Africa,Eyong ENOH,Midfielder,39,2,180,Cameroon - Morocco 07 Jun 2009,23 Mar 1986,Antalyaspor AS ,Turkey,TUR,Europe,http://img.fifa.com/images/fwc/2014/players/prt-3/310048.png
Cameroon,CMR,Africa,Fabrice OLINGA,Forward,8,1,177,Cameroon - Cape Verde Islands 14 Oct 2012,12 May 1996,SV Zulte Waregem ,Belgium,BEL,Europe,http://img.fifa.com/images/fwc/2014/players/prt-3/367396.png
Cameroon,CMR,Africa,Edgar SALLI,Midfielder,11,1,163,Equatorial Guinea - Cameroon 11 Oct 2011,17 Aug 1992,RC Lens ,France,FRA,Europe,http://img.fifa.com/images/fwc/2014/players/prt-3/336791.png
Cameroon,CMR,Africa,Joel MATIP,Midfielder,25,1,194,Italy - Cameroon 03 Mar 2010,08 Aug 1991,FC Schalke 04 ,Germany,GER,Europe,http://img.fifa.com/images/fwc/2014/players/prt-3/320375.png
Cameroon,CMR,Africa,Allan NYOM,Defender,11,0,170,Cameroon - Sudan 11 Nov 2011,10 May 1988,Granada CF ,Spain,ESP,Europe,http://img.fifa.com/images/fwc/2014/players/prt-3/355023.png
Cameroon,CMR,Africa,Sammy NDJOCK,Goalkeeper,3,0,178,Ukraine - Cameroon 02 Jun 2013,25 Feb 1990,Fethiyespor ,Turkey,TUR,Europe,http://img.fifa.com/images/fwc/2014/players/prt-3/370438.png
